Date,Close,High,Low,Open,Volume
,SPY,SPY,SPY,SPY,SPY
2019-11-05,279.2120361328125,280.02141242557303,278.9210225610841,279.72129600704636,42933200
2019-11-06,279.2757263183594,279.54853422165763,278.3299459992849,279.2120618900617,46487100
2019-11-07,280.2577819824219,281.5945958295788,279.78490583507175,280.61245990736666,54272300
2019-11-08,280.9489440917969,281.0035056590973,279.2119935258601,279.91221880793387,49032100
2019-11-11,280.4125061035156,280.5852937140423,279.43034202761794,279.5667737483614,35797300
2019-11-12,281.00360107421875,281.9038949929491,280.23060827155547,280.77625188241115,46484600
2019-11-13,281.09442138671875,281.49455800669153,279.7848884036395,280.0122374944161,53917700
2019-11-14,281.50372314453125,281.58559326566467,280.17601180041527,280.8126005592483,51219900
2019-11-15,283.5406799316406,283.58613864557697,282.14930470380386,282.8404270195278,62023600
2019-11-18,283.7498474121094,283.98629935082965,282.84955388017454,283.3042520684366,49228000
2019-11-19,283.6680908203125,284.35924115622686,283.0224269685197,284.3501383088859,67804700
2019-11-20,282.6131286621094,283.5952923830595,281.0580684819456,283.07692973881234,79406200
2019-11-21,282.15850830078125,282.8314807405151,281.3582625050897,282.72235757531104,54664700
2019-11-22,282.7859191894531,283.0405490915344,281.77650242667397,282.9041451712369,44850200
2019-11-25,284.97772216796875,284.97772216796875,283.7136748193584,283.7136748193584,48647200
2019-11-26,285.62322998046875,285.80512037479554,284.69565557558855,285.0139498893716,37569000
2019-11-27,286.8965759277344,286.8965759277344,285.8871308250597,286.1053772245163,44444600
2019-11-29,285.8324279785156,286.5781398116173,285.60507884056364,286.3325849809778,36592700
2019-12-02,283.40435791015625,286.1507255365374,282.9769404159021,286.08706111657636,75767800
2019-12-03,281.50372314453125,281.58559326566467,279.302998783299,280.68527170644836,73941700
2019-12-04,283.2406921386719,283.84089729888063,282.20399431837325,282.5495695093345,49080000
2019-12-05,283.7498474121094,283.9590185696369,282.4403144097088,283.9408406330334,40709000
2019-12-06,286.3417663574219,286.7419031701625,285.6506159076721,285.65971875651235,48927000
2019-12-09,285.4414367675781,286.62364136052076,285.3686694911169,285.9506966924689,34838500
2019-12-10,285.1230773925781,286.0506518116673,284.4683108165804,285.3868101426187,52649800
2019-12-11,285.93255615234375,286.18718614809717,285.04133729091274,285.577878076515,53429100
2019-12-12,288.3968811035156,289.17894867633004,285.70507556448115,285.9414997537219,96389600
2019-12-13,288.56964111328125,289.79733167107895,287.38740926953903,288.1604016764911,81503900
2019-12-16,290.55218505859375,291.14328723980907,288.5060429102938,290.2975551457974,82749700
2019-12-17,290.6158447265625,291.2342276828815,290.5340023722772,290.93413905050215,61097700
2019-12-18,290.634033203125,291.23423824222414,290.5794716316232,291.0068891101069,48133000
2019-12-19,291.82537841796875,291.898145691162,290.57040660492686,290.8250365559366,85310500
2019-12-20,293.1047058105469,294.23789247972303,291.88012682214224,292.857943759728,147142100
2019-12-23,293.55255126953125,293.9455076437393,293.40632910700657,293.8906778189208,52990000
2019-12-24,293.5617980957031,293.8267997088896,293.26020606823545,293.78111746910855,20270000
2019-12-26,295.1243896484375,295.13353724845075,293.9363729857451,293.9454926967339,30911200
2019-12-27,295.0511779785156,295.91021545675125,294.52114722486755,295.85538565082265,42528800
2019-12-30,293.424560546875,295.2705907201687,292.9402118941739,295.1335161748802,49729100
2019-12-31,294.13739013671875,294.38415221906047,292.5746844676578,292.9219585916766,57077300
2020-01-02,296.88824462890625,296.9065398349285,294.7497972018245,295.6728126568722,59151200
2020-01-03,294.64007568359375,295.7641429457349,293.4429112798059,293.4977411082979,77709700
2020-01-06,295.7640686035156,295.84631332558087,292.76655665791674,292.88536388612897,55653900
2020-01-07,294.9324645996094,295.6726950341624,294.48465056571524,295.19746609117453,40496400
2020-01-08,296.50439453125,297.7198263343244,294.87771109631456,295.12444534201336,68296000
2020-01-09,298.514892578125,298.58801761539866,297.4822175666189,298.06710630868724,48473300
2020-01-10,297.65582275390625,299.2550911321721,297.1897692196359,299.09974925042434,53029300
2020-01-13,299.7030029296875,299.71212264456875,297.8478521217808,298.277371170362,47086800
2020-01-14,299.24591064453125,300.3151199538499,298.6884369921767,299.2641779536659,62832800
